Inference for Bugs model at "modelIPDNMR", fit using jags,
 2 chains, each with 10000 iterations (first 1000 discarded), n.thin = 10
 n.sims = 1800 iterations saved
              mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
Beta            1.256   0.160   0.947  1.150  1.253  1.364  1.576 1.001  1700
ORref[1]        0.415   0.061   0.308  0.372  0.412  0.454  0.548 1.004   380
ORref[2]        0.505   0.117   0.317  0.425  0.489  0.571  0.772 1.000  1800
ORref[3]        0.298   0.047   0.216  0.264  0.294  0.326  0.396 1.000  1800
ORref[4]        1.000   0.000   1.000  1.000  1.000  1.000  1.000 1.000     1
be[1]           0.248   0.313  -0.351  0.040  0.242  0.460  0.868 1.004   470
be[2]           0.233   0.496  -0.711 -0.101  0.221  0.547  1.287 1.001  1800
be[3]          -0.261   0.373  -1.012 -0.498 -0.253 -0.015  0.429 1.001  1800
be[4]           0.000   0.000   0.000  0.000  0.000  0.000  0.000 1.000     1
d[1]           -0.889   0.147  -1.177 -0.990 -0.887 -0.791 -0.602 1.004   380
d[2]           -0.710   0.227  -1.149 -0.856 -0.715 -0.560 -0.259 1.000  1800
d[3]           -1.224   0.156  -1.534 -1.330 -1.225 -1.122 -0.927 1.000  1800
d[4]            0.000   0.000   0.000  0.000  0.000  0.000  0.000 1.000     1
logitp[1,1]    -5.937   1.724  -9.480 -7.095 -5.909 -4.776 -2.597 1.004   470
logitp[2,1]    -4.879   1.430  -7.818 -5.835 -4.851 -3.929 -2.112 1.004   460
logitp[3,1]    -4.254   1.257  -6.827 -5.100 -4.238 -3.422 -1.823 1.004   460
logitp[4,1]    -3.805   1.133  -6.112 -4.574 -3.796 -3.056 -1.605 1.004   450
logitp[5,1]    -3.454   1.036  -5.556 -4.160 -3.454 -2.772 -1.437 1.004   450
logitp[6,1]    -3.164   0.956  -5.104 -3.813 -3.160 -2.536 -1.299 1.004   440
logitp[7,1]    -2.916   0.888  -4.719 -3.531 -2.909 -2.332 -1.189 1.004   440
logitp[8,1]    -2.699   0.829  -4.381 -3.271 -2.694 -2.154 -1.102 1.004   440
logitp[9,1]    -2.505   0.776  -4.079 -3.038 -2.501 -1.993 -1.014 1.004   430
logitp[10,1]   -2.330   0.728  -3.807 -2.829 -2.326 -1.851 -0.935 1.004   430
logitp[11,1]   -2.170   0.684  -3.558 -2.640 -2.164 -1.720 -0.862 1.004   430
logitp[12,1]   -2.022   0.644  -3.328 -2.470 -2.017 -1.599 -0.795 1.004   430
logitp[13,1]   -1.885   0.607  -3.107 -2.303 -1.881 -1.488 -0.734 1.004   420
logitp[14,1]   -1.756   0.572  -2.901 -2.146 -1.754 -1.384 -0.674 1.004   420
logitp[15,1]   -1.634   0.540  -2.704 -2.005 -1.634 -1.285 -0.619 1.004   420
logitp[16,1]   -1.519   0.509  -2.537 -1.872 -1.519 -1.187 -0.567 1.004   410
logitp[17,1]   -1.410   0.481  -2.374 -1.741 -1.406 -1.096 -0.517 1.004   410
logitp[18,1]   -1.306   0.453  -2.217 -1.620 -1.305 -1.007 -0.466 1.004   410
logitp[19,1]   -1.206   0.427  -2.065 -1.503 -1.202 -0.922 -0.409 1.004   410
logitp[20,1]   -1.110   0.402  -1.923 -1.387 -1.107 -0.841 -0.351 1.004   410
logitp[21,1]   -1.018   0.379  -1.781 -1.279 -1.014 -0.760 -0.298 1.004   410
logitp[22,1]   -0.929   0.356  -1.641 -1.173 -0.926 -0.686 -0.245 1.004   400
logitp[23,1]   -0.843   0.335  -1.512 -1.072 -0.841 -0.612 -0.194 1.004   400
logitp[24,1]   -0.759   0.315  -1.391 -0.972 -0.757 -0.542 -0.152 1.004   410
logitp[25,1]   -0.678   0.295  -1.262 -0.874 -0.677 -0.476 -0.106 1.004   410
logitp[26,1]   -0.599   0.277  -1.132 -0.782 -0.596 -0.408 -0.060 1.004   410
logitp[27,1]   -0.521   0.259  -1.023 -0.695 -0.518 -0.341 -0.017 1.004   420
logitp[28,1]   -0.446   0.243  -0.914 -0.608 -0.444 -0.276  0.031 1.004   430
logitp[29,1]   -0.372   0.228  -0.810 -0.525 -0.374 -0.215  0.078 1.004   440
logitp[30,1]   -0.300   0.213  -0.711 -0.445 -0.304 -0.152  0.125 1.004   460
logitp[31,1]   -0.229   0.201  -0.621 -0.365 -0.234 -0.091  0.166 1.004   490
logitp[32,1]   -0.159   0.189  -0.524 -0.288 -0.164 -0.028  0.214 1.003   530
logitp[33,1]   -0.091   0.179  -0.435 -0.214 -0.089  0.031  0.259 1.003   590
logitp[34,1]   -0.023   0.171  -0.354 -0.145 -0.022  0.093  0.311 1.003   690
logitp[35,1]    0.043   0.164  -0.277 -0.074  0.044  0.157  0.364 1.002   830
logitp[36,1]    0.109   0.160  -0.202  0.000  0.111  0.219  0.418 1.002  1100
logitp[37,1]    0.174   0.158  -0.138  0.067  0.175  0.284  0.482 1.001  1500
logitp[38,1]    0.238   0.157  -0.069  0.131  0.237  0.351  0.544 1.001  1800
logitp[39,1]    0.302   0.159  -0.004  0.191  0.305  0.416  0.606 1.001  1800
logitp[40,1]    0.365   0.162   0.040  0.252  0.368  0.478  0.681 1.001  1800
logitp[41,1]    0.427   0.167   0.090  0.312  0.430  0.543  0.753 1.000  1800
logitp[42,1]    0.489   0.174   0.140  0.367  0.491  0.607  0.825 1.001  1800
logitp[43,1]    0.551   0.182   0.186  0.426  0.553  0.674  0.898 1.001  1800
logitp[44,1]    0.612   0.192   0.233  0.483  0.613  0.741  0.981 1.002  1800
logitp[45,1]    0.673   0.202   0.271  0.537  0.675  0.807  1.059 1.002  1800
logitp[46,1]    0.733   0.213   0.304  0.592  0.732  0.873  1.147 1.002  1800
logitp[47,1]    0.794   0.225   0.338  0.645  0.791  0.941  1.230 1.008  1800
logitp[48,1]    0.854   0.237   0.381  0.701  0.850  1.008  1.319 1.006  1800
logitp[49,1]    0.914   0.250   0.423  0.752  0.908  1.076  1.412 1.005  1800
logitp[50,1]    0.975   0.263   0.467  0.805  0.966  1.145  1.496 1.005  1800
logitp[51,1]    1.035   0.277   0.493  0.858  1.025  1.212  1.596 1.004  1800
logitp[52,1]    1.095   0.291   0.524  0.912  1.087  1.284  1.683 1.004  1800
logitp[53,1]    1.155   0.305   0.562  0.961  1.147  1.356  1.770 1.004  1800
logitp[54,1]    1.216   0.319   0.596  1.016  1.204  1.425  1.860 1.003  1800
logitp[55,1]    1.276   0.334   0.623  1.067  1.263  1.493  1.944 1.003  1800
logitp[56,1]    1.337   0.349   0.649  1.117  1.327  1.565  2.037 1.003  1800
logitp[57,1]    1.398   0.365   0.675  1.169  1.388  1.639  2.134 1.002  1800
logitp[58,1]    1.460   0.380   0.703  1.218  1.451  1.711  2.233 1.002  1800
logitp[59,1]    1.522   0.396   0.730  1.267  1.513  1.782  2.329 1.002  1800
